product_id,product_name,category,price,cost
P00001,라이트 셔츠 블랙,패션,45300,22900
P00002,데일리 티셔츠 크림,패션,25600,16200
P00003,프리미엄 티셔츠 블랙,패션,119800,55300
P00004,프리미엄 셔츠 크림,패션,70200,37800
P00005,라이트 원피스 크림,패션,50400,22600
P00006,시즌 원피스 아이보리,패션,16600,9700
P00007,베이직 슬랙스 블랙,패션,35900,21400
P00008,모던 스커트 크림,패션,31900,17900
P00009,오버핏 스커트 블랙,패션,148700,87000
P00010,베이직 슬랙스 아이보리,패션,113900,51900
P00011,시그니처 원피스 아이보리,패션,65600,30400
P00012,라이트 셔츠 네이비,패션,125900,77200
P00013,시즌 셔츠 크림,패션,68700,42900
P00014,모던 스커트 아이보리,패션,99900,58900
P00015,데일리 후드 크림,패션,158900,91700
P00016,모던 니트 크림,패션,49900,27900
P00017,베이직 자켓 아이보리,패션,118200,56100
P00018,시그니처 니트 크림,패션,37200,23200
P00019,모던 스커트 차콜,패션,36900,20700
P00020,프리미엄 슬랙스 블랙,패션,119700,59000
P00021,모던 티셔츠 아이보리,패션,113900,58500
P00022,시그니처 자켓 크림,패션,64500,38200
P00023,베이직 원피스 아이보리,패션,153400,94500
P00024,베이직 원피스 크림,패션,94700,56200
P00025,데일리 티셔츠 차콜,패션,54600,33800
P00026,시그니처 자켓 아이보리,패션,79800,47600
P00027,모던 스커트 네이비,패션,76100,45100
P00028,베이직 티셔츠 차콜,패션,157900,89700
P00029,시즌 후드 차콜,패션,78900,40000
P00030,라이트 원피스 블랙,패션,20900,12200
P00031,라이트 셔츠 차콜,패션,15900,7600
P00032,프리미엄 자켓 크림,패션,151100,78400
P00033,올인원 세럼 휴대용,뷰티,27900,14200
P00034,저자극 세럼 대용량,뷰티,35900,19900
P00035,비건 쿠션 무향,뷰티,87900,37900
P00036,프리미엄 선크림 기획세트,뷰티,41900,14300
P00037,글로우 마스크팩 기획세트,뷰티,68400,31100
P00038,글로우 마스크팩 휴대용,뷰티,50600,26200
P00039,비건 립밤 휴대용,뷰티,25100,13100
P00040,글로우 크림 휴대용,뷰티,51900,26400
P00041,올인원 선크림 대용량,뷰티,41900,21900
P00042,수분 토너 휴대용,뷰티,18900,8700
P00043,데일리 크림 무향,뷰티,70900,27500
P00044,저자극 토너 리필,뷰티,17300,8000
P00045,데일리 립밤 무향,뷰티,71900,36700
P00046,글로우 클렌저 기획세트,뷰티,49000,18800
P00047,비건 토너 기획세트,뷰티,23100,8000
P00048,저자극 마스크팩 무향,뷰티,21500,8000
P00049,비건 클렌저 휴대용,뷰티,11900,5900
P00050,더마 토너 기획세트,뷰티,11600,5600
P00051,비건 립밤 대용량,뷰티,43500,20200
P00052,수분 선크림 무향,뷰티,55700,27800
P00053,수분 세럼 무향,뷰티,62900,31800
P00054,프리미엄 립밤 리필,뷰티,17900,7200
P00055,저자극 선크림 무향,뷰티,65900,28600
P00056,저자극 마스크팩 기획세트,뷰티,75200,28300
P00057,글로우 마스크팩 무향,뷰티,85200,45200
P00058,수분 마스크팩 리필,뷰티,24900,9200
P00059,더마 클렌저 기획세트,뷰티,68900,31000
P00060,더마 클렌저 대용량,뷰티,83700,43000
P00061,저당 과일청 대용량,식품,35300,19700
P00062,든든한 과일청 혼합세트,식품,46900,30200
P00063,든든한 현미밥 선물세트,식품,57700,38700
P00064,유기농 견과 혼합세트,식품,59900,38800
P00065,간편 견과 10팩,식품,9300,5700
P00066,간편 두유 대용량,식품,55600,35500
P00067,유기농 두유 혼합세트,식품,12900,7400
P00068,간편 현미밥 선물세트,식품,12200,7500
P00069,국산 닭가슴살 혼합세트,식품,60700,36400
P00070,유기농 즉석국 10팩,식품,20300,11200
P00071,유기농 김치 혼합세트,식품,51200,37200
P00072,간편 견과 선물세트,식품,58900,35300
P00073,든든한 견과 혼합세트,식품,18900,13100
P00074,실속 현미밥 혼합세트,식품,41900,29200
P00075,산지직송 닭가슴살 대용량,식품,24000,17900
P00076,프리미엄 닭가슴살 대용량,식품,27200,18500
P00077,프리미엄 현미밥 선물세트,식품,5700,3200
P00078,실속 샐러드 혼합세트,식품,55900,32800
P00079,국산 견과 혼합세트,식품,66200,46600
P00080,든든한 현미밥 대용량,식품,62900,38300
P00081,국산 두유 선물세트,식품,18600,12900
P00082,유기농 닭가슴살 선물세트,식품,4500,2500
P00083,국산 견과 정기배송,식품,62800,36400
P00084,간편 김치 대용량,식품,57100,42500
P00085,유기농 현미밥 10팩,식품,36900,26500
P00086,간편 과일청 10팩,식품,48900,34900
P00087,실속 즉석국 정기배송,식품,57900,41500
P00088,산지직송 현미밥 정기배송,식품,47100,29700
P00089,리필형 방향제 그레이,생활용품,41600,20300
P00090,리필형 보관함 패밀리팩,생활용품,33700,15500
P00091,항균 수건 그레이,생활용품,21700,10400
P00092,올인원 방향제 4입,생활용품,7700,5200
P00093,심플 방향제 화이트,생활용품,85100,55400
P00094,친환경 세제 화이트,생활용품,103500,48400
P00095,모던 방향제 패밀리팩,생활용품,72900,38100
P00096,친환경 멀티탭 4입,생활용품,25300,14400
P00097,대용량 청소포 패밀리팩,생활용품,64300,36500
P00098,대용량 수건 4입,생활용품,54700,35200
P00099,친환경 정리함 2입,생활용품,32900,19400
P00100,친환경 청소포 2입,생활용품,100500,46300
P00101,대용량 청소포 그레이,생활용품,80300,50400
P00102,올인원 청소포 화이트,생활용품,89100,47600
P00103,리필형 방향제 4입,생활용품,30900,19200
P00104,프리미엄 멀티탭 화이트,생활용품,98900,63100
P00105,심플 주방매트 그레이,생활용품,100000,67100
P00106,프리미엄 주방매트 그레이,생활용품,103500,53000
P00107,항균 수건 4입,생활용품,62900,34200
P00108,모던 주방매트 패밀리팩,생활용품,127400,63500
P00109,친환경 멀티탭 패밀리팩,생활용품,80000,47100
P00110,리필형 수건 4입,생활용품,30900,19300
P00111,대용량 세제 그레이,생활용품,7800,5000
P00112,리필형 청소포 패밀리팩,생활용품,90900,57200
P00113,올인원 정리함 패밀리팩,생활용품,37100,22000
P00114,게이밍 마우스 미니,디지털,24500,16300
P00115,라이트 키보드 신형,디지털,516600,380300
P00116,라이트 태블릿 블랙,디지털,489000,409400
P00117,프로 키보드 미니,디지털,384900,256900
P00118,컴팩트 키보드 패키지,디지털,590900,437600
P00119,프리미엄 스피커 블랙,디지털,553500,467100
P00120,프로 마우스 미니,디지털,292400,244700
P00121,게이밍 태블릿 화이트,디지털,396300,314700
P00122,컴팩트 모니터 패키지,디지털,534500,408100
P00123,라이트 모니터 신형,디지털,388200,294400
P00124,스마트 마우스 블랙,디지털,539000,459500
P00125,스마트 모니터 화이트,디지털,578900,391100
P00126,프로 마우스 블랙,디지털,42600,34400
P00127,프로 충전기 신형,디지털,768900,646500
P00128,프로 충전기 블랙,디지털,25000,17700
P00129,컴팩트 마우스 패키지,디지털,545000,433100
P00130,게이밍 스피커 신형,디지털,602000,497800
P00131,무선 이어폰 블랙,디지털,293100,219300
P00132,컴팩트 마우스 신형,디지털,343600,234400
P00133,고속 공기청정기 미니,디지털,608900,517000
P00134,라이트 스피커 화이트,디지털,686900,504400
P00135,고속 태블릿 블랙,디지털,579900,461400
P00136,라이트 태블릿 패키지,디지털,758800,638000
P00137,무선 모니터 화이트,디지털,283200,193600
P00138,쿨링 덤벨 블랙,스포츠,19900,10500
P00139,경량 보호대 네이비,스포츠,68900,45400
P00140,경량 양말 라이트,스포츠,32100,15600
P00141,아웃도어 매트 세트,스포츠,72900,44500
P00142,프로 레깅스 라이트,스포츠,52900,28600
P00143,요가 레깅스 블랙,스포츠,61600,37900
P00144,요가 매트 네이비,스포츠,132900,70100
P00145,요가 양말 세트,스포츠,29900,14300
P00146,쿨링 바람막이 네이비,스포츠,95200,45400
P00147,아웃도어 양말 네이비,스포츠,146000,79700
P00148,홈트 레깅스 블랙,스포츠,179400,115400
P00149,방수 물병 프리미엄,스포츠,163900,91000
P00150,홈트 물병 라이트,스포츠,58900,31500
P00151,쿨링 물병 블랙,스포츠,122900,62700
P00152,쿨링 매트 라이트,스포츠,131900,81000
P00153,홈트 바람막이 블랙,스포츠,113100,63600
P00154,방수 바람막이 라이트,스포츠,173900,91600
P00155,프로 바람막이 프리미엄,스포츠,159900,80000
P00156,프로 레깅스 세트,스포츠,163600,83900
P00157,경량 물병 세트,스포츠,149700,99100
P00158,경량 운동화 블랙,스포츠,71900,40000
P00159,아웃도어 물병 프리미엄,스포츠,22900,11400
P00160,데일리 간식 중형,반려동물,82000,58200
P00161,프리미엄 간식 중형,반려동물,18900,11300
P00162,데일리 배변패드 중형,반려동물,92900,65300
P00163,소프트 급수기 중형,반려동물,83900,43600
P00164,튼튼한 샴푸 소형,반려동물,64300,36800
P00165,데일리 간식 대형,반려동물,115900,61500
P00166,대용량 배변패드 소형,반려동물,39600,25200
P00167,소프트 장난감 강아지,반려동물,83900,42800
P00168,데일리 장난감 고양이,반려동물,28900,17300
P00169,휴대용 간식 대형,반려동물,23600,13500
P00170,위생 방석 중형,반려동물,37500,21900
P00171,소프트 장난감 중형,반려동물,57700,38400
P00172,저알러지 하네스 소형,반려동물,32900,23600
P00173,튼튼한 급수기 소형,반려동물,19900,10400
P00174,튼튼한 샴푸 중형,반려동물,38000,19800
P00175,휴대용 하네스 고양이,반려동물,114900,69000
P00176,데일리 샴푸 소형,반려동물,28400,17800
P00177,튼튼한 물티슈 리필,유아동,15900,10600
P00178,안심 물티슈 세트,유아동,76700,52200
P00179,프리미엄 보습크림 리필,유아동,81000,41700
P00180,부드러운 식판 블루,유아동,14900,7200
P00181,키즈 장난감 리필,유아동,36200,20700
P00182,베이비 이불 선물세트,유아동,105300,56500
P00183,교육용 장난감 핑크,유아동,22500,14800
P00184,프리미엄 블록 선물세트,유아동,27900,17200
P00185,프리미엄 이불 세트,유아동,17900,11100
P00186,부드러운 블록 블루,유아동,33900,19300
P00187,교육용 식판 선물세트,유아동,129600,62700
P00188,부드러운 물티슈 핑크,유아동,121000,65600
P00189,튼튼한 이불 핑크,유아동,44900,29300
P00190,튼튼한 보습크림 세트,유아동,45800,30800
P00191,컬러 스탠드 세트,문구/오피스,26300,15900
P00192,컬러 캘린더 세트,문구/오피스,16900,8300
P00193,컬러 파일 10입,문구/오피스,13300,6500
P00194,투명 파우치 세트,문구/오피스,76900,50200
P00195,심플 보드 리필,문구/오피스,52200,32100
P00196,프리미엄 파우치 화이트,문구/오피스,21900,14200
P00197,심플 노트 리필,문구/오피스,40900,20700
P00198,프리미엄 노트 블랙,문구/오피스,29200,15200
P00199,비즈니스 노트 10입,문구/오피스,41400,24900
P00200,스마트 파우치 리필,문구/오피스,40900,17500
